Powiat ,Siedziba władz powiatu ,Województwo 
powiat aleksandrowski ,Aleksandrów Kujawski ,kujawsko-pomorskie 
powiat augustowski ,Augustów ,podlaskie 
powiat bartoszycki ,Bartoszyce ,warmińsko-mazurskie 
powiat bełchatowski ,Bełchatów ,łódzkie 
powiat będziński ,Będzin ,śląskie 
powiat bialski ,Biała Podlaska ,lubelskie 
Biała Podlaska ,miasto na prawach powiatu ,lubelskie 
powiat białobrzeski ,Białobrzegi ,mazowieckie 
powiat białogardzki ,Białogard ,zachodniopomorskie 
powiat białostocki ,Białystok ,podlaskie 
Białystok ,miasto na prawach powiatu ,podlaskie 
powiat bielski ,Bielsko-Biała ,śląskie 
powiat bielski ,Bielsk Podlaski ,podlaskie 
Bielsko-Biała ,miasto na prawach powiatu ,śląskie 
powiat bieruńsko-lędziński ,Bieruń ,śląskie 
powiat bieszczadzki ,Ustrzyki Dolne ,podkarpackie 
powiat biłgorajski ,Biłgoraj ,lubelskie 
powiat bocheński ,Bochnia ,małopolskie 
powiat bolesławiecki ,Bolesławiec ,dolnośląskie 
powiat braniewski ,Braniewo ,warmińsko-mazurskie 
powiat brodnicki ,Brodnica ,kujawsko-pomorskie 
powiat brzeski ,Brzesko ,małopolskie 
powiat brzeski ,Brzeg ,opolskie 
powiat brzeziński ,Brzeziny ,łódzkie 
powiat brzozowski ,Brzozów ,podkarpackie 
powiat buski ,Busko-Zdrój ,świętokrzyskie 
powiat bydgoski ,Bydgoszcz ,kujawsko-pomorskie 
Bydgoszcz ,miasto na prawach powiatu ,kujawsko-pomorskie 
Bytom ,miasto na prawach powiatu ,śląskie 
powiat bytowski ,Bytów ,pomorskie 
Chełm ,miasto na prawach powiatu ,lubelskie 
powiat chełmiński ,Chełmno ,kujawsko-pomorskie 
powiat chełmski ,Chełm ,lubelskie 
powiat chodzieski ,Chodzież ,wielkopolskie 
powiat chojnicki ,Chojnice ,pomorskie 
Chorzów ,miasto na prawach powiatu ,śląskie 
powiat choszczeński ,Choszczno ,zachodniopomorskie 
powiat chrzanowski ,Chrzanów ,małopolskie 
powiat ciechanowski ,Ciechanów ,mazowieckie 
powiat cieszyński ,Cieszyn ,śląskie 
powiat czarnkowsko-trzcianecki ,Czarnków ,wielkopolskie 
Częstochowa ,miasto na prawach powiatu ,śląskie 
powiat częstochowski ,Częstochowa ,śląskie 
powiat człuchowski ,Człuchów ,pomorskie 
Dąbrowa Górnicza ,miasto na prawach powiatu ,śląskie 
powiat dąbrowski ,Dąbrowa Tarnowska ,małopolskie 
powiat dębicki ,Dębica ,podkarpackie 
powiat drawski ,Drawsko Pomorskie ,zachodniopomorskie 
powiat działdowski ,Działdowo ,warmińsko-mazurskie 
powiat dzierżoniowski ,Dzierżoniów ,dolnośląskie 
