kod,nazwa,czas,przypadki,,,
0,POLSKA,2020-03-04,1,,,
0,POLSKA,2020-03-05,1,,,
0,POLSKA,2020-03-06,5,,,
0,POLSKA,2020-03-07,6,,,
0,POLSKA,2020-03-08,11,,,
0,POLSKA,2020-03-09,17,,,
0,POLSKA,2020-03-10,22,,,
0,POLSKA,2020-03-11,31,,,
0,POLSKA,2020-03-12,51,,,
0,POLSKA,2020-03-13,68,,,
0,POLSKA,2020-03-14,104,,,
0,POLSKA,2020-03-15,125,,,
0,POLSKA,2020-03-16,177,,,
0,POLSKA,2020-03-17,238,,,
0,POLSKA,2020-03-18,287,,,
0,POLSKA,2020-03-19,355,,,
0,POLSKA,2020-03-20,425,,,
0,POLSKA,2020-03-21,536,,,
0,POLSKA,2020-03-22,634,,,
0,POLSKA,2020-03-23,749,,,
0,POLSKA,2020-03-24,901,,,
0,POLSKA,2020-03-25,1051,,,
0,POLSKA,2020-03-26,1221,,,
0,POLSKA,2020-03-27,1389,,,
0,POLSKA,2020-03-28,1638,,,
0,POLSKA,2020-03-29,1862,,,
0,POLSKA,2020-03-30,2055,,,
0,POLSKA,2020-03-31,2311,,,
0,POLSKA,2020-04-01,2554,,,
0,POLSKA,2020-04-02,2946,,,
0,POLSKA,2020-04-03,3383,,,
0,POLSKA,2020-04-04,3627,,,
0,POLSKA,2020-04-05,4102,,,
0,POLSKA,2020-04-06,4413,,,
0,POLSKA,2020-04-07,4848,,,
0,POLSKA,2020-04-08,5205,,,
0,POLSKA,2020-04-09,5575,,,
0,POLSKA,2020-04-10,5955,,,
0,POLSKA,2020-04-11,6356,,,
0,POLSKA,2020-04-12,6674,,,
0,POLSKA,2020-04-13,6932,,,
0,POLSKA,2020-04-14,7202,,,
0,POLSKA,2020-04-15,7582,,,
0,POLSKA,2020-04-16,7918,,,
0,POLSKA,2020-04-17,8375,,,
0,POLSKA,2020-04-18,8709,,,
0,POLSKA,2020-04-19,9224,,,
0,POLSKA,2020-04-20,9530,,,
0,POLSKA,2020-04-21,9793,,,
0,POLSKA,2020-04-22,10106,,,
0,POLSKA,2020-04-23,10448,,,
0,POLSKA,2020-04-24,10829,,,
0,POLSKA,2020-04-25,11210,,,
0,POLSKA,2020-04-26,11554,,,
0,POLSKA,2020-04-27,11839,,,
0,POLSKA,2020-04-28,12155,,,
0,POLSKA,2020-04-29,12577,,,
0,POLSKA,2020-04-30,12877,,,
0,POLSKA,2020-05-01,13105,,,
0,POLSKA,2020-05-02,13375,,,
0,POLSKA,2020-05-03,13693,,,
0,POLSKA,2020-05-04,14006,,,
0,POLSKA,2020-05-05,14412,,,
